LeadID,CampaignID,LeadDate,LeadSource,Qualified
1,1,2023-05-08,Referral,Yes
2,1,2023-05-12,Organic,Yes
3,1,2023-05-04,Paid,Yes
4,1,2023-05-10,Referral,Yes
5,1,2023-05-12,Organic,Yes
6,1,2023-05-05,Organic,No
7,1,2023-05-13,Organic,Yes
8,1,2023-05-09,Referral,No
9,1,2023-05-05,Referral,No
10,1,2023-05-14,Paid,No
11,1,2023-05-01,Paid,No
12,1,2023-05-10,Organic,No
13,1,2023-05-06,Referral,Yes
14,1,2023-05-02,Referral,Yes
15,1,2023-05-03,Organic,No
16,1,2023-05-04,Referral,Yes
17,1,2023-05-14,Organic,No
18,1,2023-05-06,Paid,No
19,1,2023-05-01,Referral,Yes
20,1,2023-05-12,Referral,No
21,2,2023-05-08,Referral,No
22,2,2023-05-03,Referral,No
25,2,2023-05-03,Referral,No
26,2,2023-05-11,Paid,Yes
27,2,2023-05-11,Referral,No
28,2,2023-05-09,Referral,No
29,2,2023-05-01,Organic,Yes
30,2,2023-05-01,Referral,No
31,2,2023-05-15,Referral,No
32,2,2023-05-09,Organic,Yes
33,2,2023-05-14,Referral,Yes
34,2,2023-05-14,Referral,No
35,2,2023-05-15,Referral,No
36,2,2023-05-14,Organic,Yes
37,2,2023-05-09,Organic,Yes
38,2,2023-05-03,Organic,Yes
39,2,2023-05-04,Organic,No
40,2,2023-05-15,Organic,Yes
41,3,2023-05-04,Paid,No
42,3,2023-05-13,Referral,No
43,3,2023-05-10,Paid,No
44,3,2023-05-09,Organic,Yes
45,3,2023-05-14,Paid,Yes
46,3,2023-05-10,Organic,Yes
47,3,2023-05-10,Referral,No
48,3,2023-05-14,Paid,Yes
49,3,2023-05-01,Organic,No
50,3,2023-05-12,Paid,Yes
51,3,2023-05-06,Paid,No
52,3,2023-05-09,Organic,No
53,3,2023-05-10,Referral,Yes
54,3,2023-05-07,Referral,No
55,3,2023-05-14,Paid,No
56,3,2023-05-07,Organic,Yes
57,3,2023-05-14,Organic,No
58,3,2023-05-03,Referral,Yes
59,3,2023-05-07,Referral,Yes
