SpendID,CampaignID,Date,Cost
S11,1,2023-05-09,187.2
S12,1,2023-05-02,228.8
S13,1,2023-05-03,200.69
S14,1,2023-05-04,186.22
S15,1,2023-05-05,155.91
S16,1,2023-05-06,211.47
S17,1,2023-05-07,159.4
S18,1,2023-05-08,272.94
S19,1,2023-05-09,290.92
S110,1,2023-05-10,145.86
S111,1,2023-05-11,247.93
S112,1,2023-05-12,182.22
S113,1,2023-05-13,192.01
S114,1,2023-05-14,281.4
S115,1,2023-05-8,67.76
S21,2,2023-05-01,71.78
S22,2,2023-05-02,55.05
S23,2,2023-05-03,258.15
S24,2,2023-05-04,244.54
S25,2,2023-05-05,267.5
S26,2,2023-05-06,294.65
S27,2,2023-05-07,249.79
S28,2,2023-05-08,165.37
S29,2,2023-05-09,245.13
S210,2,2023-05-10,79.57
S211,2,2023-05-11,209.98
S212,2,2023-05-12,85.84
S213,2,2023-05-13,286.17
S214,2,2023-05-14,180.46
S215,2,2023-05-15,153.67
S31,3,2023-05-01,116.14
S32,3,2023-05-02,243.56
S33,3,2023-05-01,164.04
S34,3,2023-05-04,192.11
S35,3,2023-05-05,54.7
S36,3,2023-05-06,204.41
S37,3,2023-05-07,203.02
S38,3,2023-05-08,204.23
S39,3,2023-05-09,285.94
S310,3,2023-05-10,220.46
S311,3,2023-05-1,139.88
S312,3,2023-05-12,159.26
S313,3,2023-05-13,224.41
S314,3,2023-05-14,65.06
S315,3,2023-05-15,216.69
